query_id,cleaned_query,label
30835,tell me about insect control in okra,6
60057,plant protection in paddy nursery,6
34787,mandi bhav ka toll free nambar,4
86394,dhaan ki fasal pili pad rahi hai,1
66082,information about maize variety,0
58973,farmer want to know information about weather of biaora sub district,8
23825,fungal controlin chilli crop,6
78960,asking about weather information,8
86779,asking about ragi sowing season,0
55704,information regarding weather in ratia,8
31717,fungus attack on maize,2
25806,intercultivation,2
14397,asking about aphids management in ragi,6
36541,tell me insect control in califlower,6
3011,variety information of til,7
58359,adhar link nahi ho raha hai,8
53140,farmer needs information regarding control of gajarghas weeds in fallow land,9
39650,tell me about the wheather information,8
54490,asking about krishi vigyan kendra vriddhachalam cuddalore district contact no,7
87183,papaya information,0
47036,solar pumping set ke liye karna padega,3
78793,farmer asked about market rate of turmeric,4
33549,farmer needs information regarding weather for bilaspur dist of state chhaisgarh,8
53369,fertilizer spray for onion,1
22668,flower dropping in citrus,6
75399,asking fertiliser spray on tur,1
29732,asking about weather report tiruvannamalai,8
32743,weather information in chitrakoot,8
17766,information of weather,8
71114,asked about control of hazardous effect of weedicide in soyabean,5
77486,tell me about dic back control in citrus,6
57181,tell me contact toll free number,4
97825,farmer want to know information about weather of dindori district,8
66057,information for broad weed control in sugarcane crop,5
71508,tell me about termite control in banana,6
90617,information regarding the batter quality in cotton,5
56533,information regarding to weather in bhiwani,8
69922,askingg about weather report in barddhaman district at kalna1 block,8
24925,asked about attack of sucking pest and blight on turmeric,6
16294,mosem ki jankari,8
60679,farmer want to know information about weather of your raisen district,8
8478,information about weather of unnao,8
47159,lalitpur ka mausam,8
44235,asking about thanjavur veterinary department contact number,0
48009,tell me weatehr information of bikaner dist,8
49219,asking about brinjal fusarium wilt management,6
45079,brinjal leaf blight and fruit rot control,6
86213,onion ki shape size nahi aata hai,0
52177,about weather information dist saharanpur,8
72605,fishery toll free no,2
47608,asking about need for varagu marketing,4
52469,tell me about insect control in guava,6
43265,farmer w3ant to know about subsidy of balram taal yojna,3
16034,seed rate of dhaincha for green manuring,6
70938,weather forcast,6
95756,asking about sorghum market information,4
43283,weather information in raebareli,8
41917,tell me about weed control in grounnut,9
73464,pre emergence weed control in paddy,9
89410,tell me about variety of soyabean,7
85769,tell me about leaf blight diease control in bhindi,6
78487,information to weather,8
24235,asking about weed management for paddy,9
56348,asked about root rot in chilli,5
40765,tractor lana hai,8
97990,farmer need weather information of bhind district of madhya pradesh,3
50790,fruit fly in bottle gourd,6
6245,information regarding weather of,8
4428,pink stem borer control in maize,6
29480,tell me about the insect control in papaya,6
50006,compost khad ki matra hectare batiye,5
6237,information about vermi compost,3
65693,farmer want to know information about weather of neemuch district,8
11802,tell me control of fungal infection in cirus,6
85847,tobacco information,5
84598,control of aphid in chilli,6
88809,tell me about black leaves control in opiun popy,6
89275,asked about fertilizer dose for cotton,5
25570,nutrient for bitter gourd,5
1593,asked about trichy weather report information,8
96613,asking about jasmine spacing,0
29753,asking about rust management in sugarcane,6
17496,sundi control in guwar,6
30334,tell me cut worm control in cotton,6
26742,asked about weed managemnt in green gram crop,9
44929,how to control nemaode problems in wheat crop,6
73749,asking about coconut micro mixture application,1
5951,disease problem in sugarcane,6
58802,kisan registration,3
44959,farmer wants to weather information of satna district,8
94802,asking about black gram foliar application,1
37571,termite problem in paddy,8
6565,asking about coconut seed selecting age of coconut tree,5
40771,paddy weed management at 1520 days nursery,9
23258,plant protection mango,6
93267,information regarding weather of kotgarh,8
5572,farmer want to know information about control of fungal attack maize,6
58585,verieties of sugarcane,7
619,tell me about the disease control in cotton,6
75842,paddy crop white leaf,6
3463,tamater ki pati sikur rahi hai,6
87440,preemergence weedicide in pumpkin,0
59322,information regarding planting distance of plum,0
46416,asked about krishnagiri today weather report,5
28154,disease control in chillie crop,6
84743,tell me termite control in tree,6
39993,spraying of nutrient,8
2625,fertilizer managemnet infarmetion,6
86319,insecte problem in the gram,8
72088,asking about leaf spot in tomato,1
33460,steem borar of paddy,2
36685,asked about bellary onion increase size,5
20944,tell me about nematode control in wheat,6
98299,how to control weed in paddy,6
94804,tell me leaf curl control of chillies,6
26269,pointed gourd weed control,8
9367,leaf blast control arabi crop,6
89573,weatherbadaun,8
47041,information regarding control of stem borer and leaf folder,6
82265,farmer want to know about weather information for manawar tehshil dhar district,8
16721,disease control in sugarcane crop,6
40312,mango me petiside,6
19872,control of nematode in wheat crop,6
9463,asking about weather report of indus block in ban kura district,8
92804,water melon thrips control,6
88216,plant protection in bottle gourd,6
73336,regarding small size of fruits in apple orchard and regarding spray schedule at fruit development stage 4,6
8380,asking about sugarcane boosters availability information,5
60308,farmer want to know about weather information for ujjain district,8
14933,asking about market price of potato,8
43095,red pumpkin beetle control in cucumber crops information,6
62687,dhan beej lene ke liye rajistration karen,2
39481,asking about control of fruit fly in pointed gourd,6
29321,tell me subsidy info,3
37731,tell me jodhpur krishi vigyan kendra,4
82984,asking about drip subsidy information,7
9291,tell me contact number fishries department,2
63696,regarding planting of apple trees,6
17349,tell me about stem root control in jowar,6
77413,information regarding about control yellownesh in tomato leaf,6
56069,information regarding control of root borer in tomato,6
42051,asking about application of micro nutrient for maize,5
79386,asking about the weather report of kalna2 block barddhaman,8
40568,asking about foliar spray for jasmine,1
3963,information regarding weather of paonta sahib,8
89243,tell me about disease control in bail,6
27937,asking about tuberose growth regulator,5
43094,seed treament of sugarcane crop,0
54323,seed tretment for sugercane crop,5
41024,asked about fertilizer dose,6
87208,weather information in maharaj ganj,8
89032,farmer wants to know information about weather of jabalpur district,8
84220,plz give me weather information district lalitpur block bar,8
59852,tell me msp in gram,4
49395,information regarding to weather of palwal,8
49258,insect control in bottle gourd crop,6
63294,information sagaoni,3
58208,information regarding control of excessive vegetative growth of cotton in heavy soils,0
92393,rainfall forecast in hindoldhenkanal dist,8
38701,farmer want to know information about weather report of neemuch district,8
80864,insect problem in wheat crop,6
94827,dhan ki leaf pilli ho rahi hai,8
11930,asking about the control of weed in paddy,9
94342,asking about weather report for madurai,8
97431,tell me insect control in jau,6
7920,asking about spacing of tomato,0
93625,weather information,8
89832,information regarding weather forecasting in mahendragarh,8
37723,farmer want to know information about how to increase growth of soyabean,8
89693,lauki ka phal kala padkar sad raha hai,6
98734,brown spot appear in gram,8
16213,tell me about the insect control in pomegranate,5
79237,tell me contect number of rajfed,4
82522,insect problem in mentha crop,6
82372,information regarding about weather of kandaghat,8
88739,tell me termite control in crops,0
902,tell me subsidy on dairy farming,3
44020,asking about india meteorological department toll free number,8
79288,krishi yantro ke bare jankari de,8
89267,leaf blight in leafleaf spot,6
52665,farmer want to know information about weather of your ujjain district,8
51259,information of gram,6
67806,asking about control of gall midge in paddy,6
7807,information regarding weather kaithal,8
9246,tell me thrips control in cotton,6
38961,asking about bhendi jassids management,6
11082,weed problem in mint crop,9
72735,information regarding foliar spray of fertiliser doses in wheat,0
62495,attack red mites,6
14985,tell me control of insect in cumin,6
100433,leaf curling problem in carom seed plant,6
38070,weed management in paddy crop,9
52939,asking about weather report for kancheepuram district,8
79813,tell me method of prepare bordeaux mixture for bail,6
85242,tell me about weather information,7
80759,mushroom cultivation,8
76695,market rate of soyabean,4
71681,asking about brinjal top dressing fertilizer management,1
7347,information regarding control of mites in capsicum,6
78121,tell me about root rot control in onion,6
92127,tell me about disease control in cumin,6
25893,farmer want to know information about weather forecast in rajnagar sub district,8
86020,attack of sucking pest on pomegranate,6
3251,asking about caterpillar management in black gram,6
40389,tell me insect control in bottle gaurd,6
47978,kheri ka mausam,8
79574,tell me pest control in bajra,6
43490,farmer wants to know how to control flower and fruit drop in sesame crop,0
69917,tell me termite control in anar,6
97359,tell me last year contact number crop insurence,3
50977,information regarding weather in bhiwani,8
63511,tell me contact number of krishi pant bhawan,3
15542,dhania me mahu laga hai,6
22429,asking about root rot in chilli,6
43660,nutrient management in sugarcane crop,5
33686,farmer want to know information about weather forecast in uamria district,8
35004,asked about attack of shoot borer on sugarcane,6
93004,farmer want to know information about how to increase growth of bhindi crop,6
31948,tell me flower drop control in lemon,6
99830,tell me about the market information in gram,4
94127,tell me insect control in pomgranate,6
93974,fertilizers in basmati rice,1
28959,tell me subsidy on sprinkler system,3
42996,asking about harvest time for tapioca,6
10319,information regarding improved varieties of bajra,2
55399,fertilizer dose of dhan,8
