query_id,query,label
52615,Plant protection of Paddy crop ?,2
18289,Asking about Planting Season for Ash gourd,2
50718,Asking about whitefly in chilli,6
43524,INFORMATION REGARDING TOSUNDI CONTROL IN SORGHUM ?,6
86317,spray schedule in apple ?,6
11943,pod borer in gram ?,6
44078,lahasun ki growth ka liye,6
72505,thirips control in mustard...?,6
76725,plant protection in paddy crop...........?,6
100201,ASKING ABOUT MICRO NUTRIENT IN LEMON,5
44659,dhan me kalle bante samay uravrk ki matra..?,1
13525,WEATHER REPORT OF UDAYNARAYANPUR BLOCK IN HOWRAH DISTRICT.,8
82569,Farmer need information regarding varieties of munga crop?,0
81804,Farmer want to know information about Weather forecasting for Morena district of Madhya Pradesh?,8
54782,how to control flower drop in vegetable crop ?,0
25734,Farmer needs information regarding weather for Nagda BLOCK of state madhya pradesh?,8
95529,Asking about muthur copra market rate,4
97115,fruit drop of ber?,6
51258,information regarding the control of flower drop in bottle gourd ?,6
53997,"ASKING ABOUT THE WEATHER REPORT OF  KESHPUR BLOCK,WEST MIDNAPUR.",8
40940,weed management of open field ?,9
34519,TELL ME ABOUT THE DISEASE CONTROL IN CITRUS ?,6
87041,information for yellow collar for bhindi crop?,5
70029,Weather information in Lalitpur.?,8
43103,weed management in bajra crop........?,9
28168,Cracking in Bael ?,6
38260,TELL ME VARIETY OF BT COTTON ?,7
88599,Leaf curl disease problem in sugar beet crop ...?,6
67276,information about mashrum...?,6
32093,information about weather of Farrukhabad ?,8
84624,information regarding application of urea in pusa basmati-1509 and pusa basmati-1121 ?,1
47513,bajra ki prajati batiye,3
84780,Plant Protection in Brinjal...?,6
70704,TELL ME MICRO NUTRIENT MANAGEMENT JACK Fruit ?,5
40890,farmer wants to know weather information of bhind  district ?,8
20270,TELL ME ABOUT PEST CONTROL IN METHI ?,6
1768,Farmer needs information regarding how to increase size and production in soybean crop?,5
50928,flower drop in bottle crop.,0
43876,Asking about weather report for Ariyalur,8
64551,farmer wants to know weather information of ashoknagar  district ?,8
80257,jamin par awaidh kabja ki janakari ?,0
6722,Asking about Budworm and sucking pests management in Jasmine,6
19659,WEED CONTROL IN SUGARCANE INFORMATION  ?,8
28622,information regarding application of SAAF as growth regulator ?,5
77673,TELL ME INSECT CONTROL IN ISABGOL,6
78977,Bakanae disease problem in paddy...?,6
59437,TELL  ME INSECT CONTROL IN CHILLIES ?,6
32019,TELL ME JODPUR MANDI  GRAM AND ISUBGOL RATE,8
18611,DRENCHING IN TTURMERIC?,6
30031,White fly problem of bitter gourd..?,6
3336,Farmer wants to know information about weather forecast of Ashoknagar  district?,8
77816,asking about villupuram district Regulated Market Committee contact number,4
91158,TELL ME FLOWER DROPPING CONTROL IN CITRUS,1
30521,Asked abou fertilizer dose of sugarcane ?,1
95803,attack of blight on mosambi ?,6
59687,TELL ME ABOUT MANDI RATE OF MOTHBEA IN LUNKARANSAR MANDI ?,4
14471,Asking about Pollachi (Coimbatore) weather report,8
60936,TELL ME WEEDS CONTROL DHUB GRAS,9
4183,Farmer need information regarding control measures of caterpillars attack in bhindi crop ?,6
56652,termite control in the groundnut...?,6
52674,TELL ME CONTROL OF INSCET IN ONION ?,6
75959,informetion of tomato crop..?,6
46956,Wilt disease problem in Lentil crop ....?,6
326,farmer want to know information about How to control of fungal attack in chilies crop?,6
50876,WEED MANAGEMENT IN GROUNDNUT CROP ?,9
95260,Farmer wants to know information about govt. schemes of horticulture?,6
28244,"Asking about Horticultural College and Research Institute, Periyakulam  contact number",5
20531,ASKED ABOUT PREVENTIVE MEASURES TO BOLL WORM ON COTTON ?,6
47601,asking about sugarcane foliar application information,5
72005,Farmer needs information regarding control measures of   caterpillar in soyabean?,6
11869,Asking about thoothukudi kvk contact number,3
68755,how to control SUCKING IN groundnut ?,6
39874,FLOWER DROP PROBLEM IN BHINDI..?,6
16903,leaf problem i the  garlic..?,6
665,TELL ME NO FLOWER IN GUAVA,6
49134,Information regarding weather in paniapt ?,8
9949,stem borer and kajra insect,6
32875,weed problem in mint crop?,6
9415,aam men baur gir rahaa hai..?,6
29375,information regarding for varities of tomato,0
74052,Weather information laharpur?,8
89545,INFORMATION REGARDING FIRST IRRIGATION OF LENTIL ?,0
8582,TELL ME METHI PRICR FOR BIKANER MANDI ?,4
66173,"Asking about Market rate for Groundnut,",4
47118,sarasau me 10% phool hai sichai kar sakte hai,0
80298,TELL ME SOWINTG TIME OF SWEET POTATO,0
89563,Asking about weather forecast? ATTACK OF APHIDS ?,8
51136,TELL ME ABOUT SUBSIDY ON PIPELINE ?,8
72115,how to increase growth 0f wheat?,1
97494,Insect control in mango..?,6
72476,Mausam ki jankari leni hai…….?,2
68883,Asking about cucumber foliar spay  management,1
100374,powdery mildew in bhendi,6
1779,PLANTING OF GRAPEVINE?,6
64818,WEED PROBLEM IN TOMATO,6
5478,asked about attack wilt on chilli?,0
61154,Yellow Leaf problem in wheat crop...,6
53953,Farmer need information regarding weed management in maize crop.,9
32248,Farmer want to know information about weather of dewas  dist. ?,8
1988,asking about leaf spot management in rose,6
35041,Information regarding Planting distance of Pea ?,0
94122,asking about Red rot in sugarcane,6
31466,Asking about pod borer in black gram,6
19880,fertilizer application in paddy crop,1
31306,weather in kushi nagar,8
23295,farmer want to know information about Sagar weather?,8
90843,root rot management in chillies,6
98190,asking about dharmapuri cocoon market price,4
97730,WEATHER REPORT OF MANBAZAR BLOCK IN BANKURA DISTRICT.,8
60044,farmer want to know information about agriculture insurance.? recommended for to know information about agriculture insurance,3
97016,TELL ME INSECT CONTROL IN JAMUN ?,5
98891,Asking about sugarcane termites management,0
13460,Subsidy information ?,3
93384,Beekeeping information  ?,3
37247,Farmer wants to know information about weather of their Bichhua block?,8
67187,TELL ME ABOUT OF INSECT CONTROL IN SOYABEAN,6
65164,how to control thrips and spider in cotton crop?,6
32407,plant protection of maize crop..?,6
262,solar pamp link karane ke liye website..?,3
85566,Asked about attack of pink boll warm on cotton ?,6
92797,information for vegetable crop?,8
81705,information about red leaf of paddy crop ?,0
80344,Information regarding about spray of urea dose in wheat?,0
1838,insect control in  mentha  ..?,6
18690,tell me flower fall down lemon,6
37989,Weather forecasting for your  Jawad tehsil of Madhya Pradesh?,8
1234,Information regarding  weather  ?,8
74966,grouth problem in the cucumbe..?,6
14190,PILIBHIT AMARIYA---WATHER REPORT.....?,8
78536,TELL ME ABOUT THE MANDI RATE OF GUAR IN SHRIVIJAYNAGER MANDI ?,4
75398,information regarding weather of nichar ?,6
51387,Information regarding to Weather HISSAR  ?,8
94203,Information regarding sowing time of vigna radiata?,0
74664,Mealy Bug in Sugarcane ?,6
54287,ASKING ABOUT WEATHER REPORT (RAIN FALL) IN  NADIA DISTRICT,8
4593,information regarding how to control yellowness in kidney beans ?,6
24059,TELL ME CONTROL OF FLOWER DROPING IN LEMON,5
37264,Rhizopus rot in jack fruit ..?,6
85556,ASKING ABOUT CONTROL OF NEMATODES IN CUCUMBER,6
14161,asking about paddy IR 20 variety duration (days),7
45660,asking about sugarcane termites management,6
11317,menthe oil ki rate ki janakari ?,4
15268,APHIDS MANAGEMENT IN COTTON,6
11033,insect  control in brinjal ..?,6
67327,aAPHID INSECT PROBLEM IN WHEAT,6
61411,"ASKING ABOUT THE WEATHER REPORT OF TEHATTA-2 BLOCK,NADIA.",8
22884,Information regarding how to control white fly in cotton crops?,6
8036,Weed management in paddy crop..?,5
28652,Asking about forest department contact number,5
62191,ASKING  ABOUT MICRO NUTRIENT IN PADDY,5
68867,CONTROL OF APHID IN MUSTARD.,6
73257,Asking about weather report for Kancheepuram,8
59879,Asking about Salem weather Report,8
18220,vermi compost information...?,3
77023,Ask about flower setting in cowpea,1
44834,Information regarding weather   fatehabad ?,8
85052,ASKED ABOUT THE DOSE OF GRADE 2.,0
14511,TELL ME BLACK ROT CONTROL IN CORUINDER,6
35769,Asking about growth regulator application in tomato,5
95058,CONTROL OF ALGAE IN TRANSPLANTING PADDY,9
67351,Asking about IFFCO Kissan agriculture app,3
51696,TELL ME Today's Mandi Rates OF LUNKARANSAR ?????????????????????Gwar,4
42145,Asking about guava  Drip irrigation subsidy information,3
37039,Asking about Jasmine eriophyid mite management,0
43004,TELL ME VARIETY OF BER  ?,7
67011,Plz.Give me weather information district muradabad block Bilari?,8
39845,Farmer want to know information about  weather of your tonk khurd tehshil dewas district ?,8
86840,ASKING ABOUT REPORT OF BHARATPUR-II BLOCK MURSHIDABAD DISTRICT,8
42609,ASKED ABOUT ADVERSE EFFECT OF WEEDICIDE ON CROP ?,0
83339,Aam ke ped me aam jhad rahe hai?,0
71140,Root borer insect problem in Sugarcane crop....?,6
87710,Asking about Groundnut Top dressing fertilizer application,5
27559,Bug control in paddy crop.....?,6
15958,tomato basal fertilizer management,2
26636,??????:- ????? ??? ???? ?? ???????,8
3564,irrigation management in sponge gourd,0
13259,AZAMGARH ME MAUSAM...?,8
35833,TELL ME ABOUT TERMITE CONTROL IN,6
19622,TELL ME ABOUT INSECT CONTROLE IN LEMON ?,6
3117,dhan ki fasal me kharpatavr ki roktham ke upay?,9
34843,MAUSAM--RAMPUR ....?,8
82601,farmer want to know information about weather in  narsimpur dist. ?,8
12111,Farmer needs information regarding weather  for   jathari of annuppur district of madhyapradesh  state?,8
74792,aphid ki problem?,8
88161,Information regarding weather in bhiwani?,6
53920,Weed management of Mentha crop ?,6
67082,KANNAUJ ME BARISH...?,8
59742,TELL ME WEATEHR INFORMATION OF BERMER DIST,8
22499,Asking about yellow sticky trap availability,6
53373,infestation of semilooper in bhindi,6
75345,TELL ME subsidy related information.,0
